epoch,step,train_loss,val_loss
0,7,,14.14765453338623
1,15,,26.295255661010742
2,23,,14.1126070022583
3,31,,13.55920124053955
4,39,,12.496354103088379
5,47,,13.444704055786133
6,49,22.094526290893555,
6,55,,15.439407348632812
7,63,,10.890409469604492
8,71,,8.459683418273926
9,79,,16.176008224487305
