epoch,step,train_loss,val_loss
0,7,,17.407100677490234
1,15,,14.291013717651367
2,23,,9.851183891296387
3,31,,8.18080997467041
4,39,,9.400096893310547
5,47,,8.845623016357422
6,49,19.07172393798828,
6,55,,9.865506172180176
7,63,,10.331284523010254
8,71,,9.981156349182129
9,79,,7.848521709442139
10,87,,9.28210735321045
11,95,,10.305219650268555
12,99,14.963120460510254,
12,103,,8.933597564697266
13,111,,8.531591415405273
14,119,,9.248431205749512
