epoch,step,train_loss,val_loss
0,7,,35.732418060302734
1,15,,31.704490661621094
2,23,,19.828460693359375
3,31,,38.033592224121094
4,39,,31.496675491333008
5,47,,52.216163635253906
6,49,44.948184967041016,
6,55,,50.48508071899414
7,63,,44.96273422241211
8,71,,26.780946731567383
9,79,,30.418859481811523
10,87,,24.463117599487305
11,95,,26.46843719482422
12,99,30.702709197998047,
12,103,,22.670162200927734
13,111,,24.307079315185547
14,119,,23.285734176635742
